Zip Code,2023,2024,YoY Change,%change
90631,2305,3002,697,0.302386117
90632,7,6,-1,-0.142857143
90633,4,2,-2,-0.5
90637,3,9,6,2
90638,1718,2202,484,0.281722934
90639,2,2,0,0
90640,1170,1599,429,0.366666667
90650,1823,2312,489,0.268239166
90651,3,6,3,1
90652,,1,1,NaN
90660,815,1127,312,0.382822086
90661,1,,-1,-1
90662,1,1,0,0
90670,606,712,106,0.174917492
90680,721,1006,285,0.395284327
90701,475,628,153,0.322105263
90702,2,3,1,0.5
90703,3568,4255,687,0.192544843
90704,36,37,1,0.027777778
90706,1277,1682,405,0.317149569
90707,4,7,3,0.75
90710,690,925,235,0.34057971
90711,,,0,NaN
90712,1060,1358,298,0.281132075
90713,824,1051,227,0.275485437
90714,3,5,2,0.666666667
90715,457,606,149,0.326039387
90716,136,188,52,0.382352941
90717,572,739,167,0.291958042
90720,1496,1813,317,0.211898396
90721,,,0,NaN
90723,509,707,198,0.388998035
90731,1171,1499,328,0.280102477
90732,876,1149,273,0.311643836
90733,5,9,4,0.8
90734,9,9,0,0
90740,1324,1536,212,0.160120846
90742,80,88,8,0.1
90743,48,50,2,0.041666667
90744,384,549,165,0.4296875
90745,1231,1659,428,0.347684809
90746,763,1043,280,0.366972477
90747,,2,2,NaN
90748,6,8,2,0.333333333
90749,5,6,1,0.2
90755,599,763,164,0.273789649
90801,7,11,4,0.571428571
90802,1166,1478,312,0.267581475
90803,1794,2128,334,0.186176143
90804,654,836,182,0.278287462
90805,1108,1512,404,0.364620939
90806,780,1018,238,0.305128205
90807,1393,1682,289,0.207465901
90808,1877,2246,369,0.196590304
90809,3,5,2,0.666666667
90810,430,609,179,0.41627907
90813,377,523,146,0.387267905
90814,786,961,175,0.22264631
90815,1699,2103,404,0.237786933
90831,3,2,-1,-0.333333333
90832,2,4,2,1
90840,,1,1,NaN
90853,2,1,-1,-0.5
90895,2,1,-1,-0.5
91001,2314,2789,475,0.205272256
91003,3,5,2,0.666666667
91006,2710,3371,661,0.243911439
91007,2139,2682,543,0.253856942
91008,119,145,26,0.218487395
91009,6,5,-1,-0.166666667
91010,760,966,206,0.271052632
91011,2510,3044,534,0.212749004
91012,15,12,-3,-0.2
91016,1655,2120,465,0.280966767
91017,10,13,3,0.3
91020,350,468,118,0.337142857
91021,3,8,5,1.666666667
91024,763,917,154,0.201834862
91025,7,10,3,0.428571429
91030,1847,2247,400,0.216567407
91031,25,23,-2,-0.08
91040,1190,1576,386,0.324369748
91041,4,4,0,0
91042,1270,1796,526,0.414173228
91043,4,5,1,0.25
91046,7,6,-1,-0.142857143
91066,20,21,1,0.05
91077,4,4,0,0
91101,1016,1297,281,0.276574803
91102,7,7,0,0
91103,1039,1301,262,0.252165544
91104,1679,2066,387,0.230494342
91105,1407,1655,248,0.176261549
91106,1329,1586,257,0.19337848
91107,2293,2838,545,0.237679895
91108,1675,1924,249,0.148656716
91109,19,30,11,0.578947368
91110,,,0,NaN
91114,3,3,0,0
91115,4,4,0,0
91116,6,9,3,0.5
91117,3,3,0,0
91118,11,19,8,0.727272727
91124,,2,2,NaN
91125,1,5,4,4
91126,1,1,0,0
91201,1060,1500,440,0.41509434
91202,1227,1624,397,0.323553382
91203,801,1105,304,0.379525593
91204,788,1102,314,0.398477157
91205,1222,1732,510,0.417348609
91206,1723,2359,636,0.369123622
91207,731,932,201,0.2749658
91208,1271,1599,328,0.258064516
91209,9,11,2,0.222222222
91210,44,40,-4,-0.090909091
91214,2185,2740,555,0.254004577
91221,7,5,-2,-0.285714286
91222,2,1,-1,-0.5
91224,3,2,-1,-0.333333333
91225,4,4,0,0
91226,7,6,-1,-0.142857143
91301,2188,2731,543,0.248171846
91302,3310,4028,718,0.216918429
91303,701,997,296,0.422253923
91304,1963,2582,619,0.315333673
91305,1,1,0,0
91306,1424,1975,551,0.386938202
91307,1973,2611,638,0.323365433
91308,6,9,3,0.5
91309,1,2,1,1
91310,1,2,1,1
91311,2309,3034,725,0.31398874
91313,5,9,4,0.8
91316,2091,2644,553,0.264466762
91319,5,7,2,0.4
91320,2718,3373,655,0.240986019
91321,1069,1384,315,0.294667914
91322,2,1,-1,-0.5
91324,1297,1717,420,0.32382421
91325,1582,2067,485,0.306573957
91326,4266,5289,1023,0.239803094
91327,8,14,6,0.75
91328,7,7,0,0
91330,3,8,5,1.666666667
91331,1140,1711,571,0.500877193
91333,1,2,1,1
91334,2,1,-1,-0.5
91335,1992,2759,767,0.385040161
91337,3,8,5,1.666666667
91340,447,627,180,0.402684564
91341,3,1,-2,-0.666666667
91342,2234,3065,831,0.371978514
91343,1680,2339,659,0.392261905
91344,3037,4056,1019,0.335528482
91345,501,644,143,0.285429142
91346,1,3,2,2
91350,3006,3663,657,0.218562874
91351,1150,1493,343,0.29826087
91352,1137,1553,416,0.36587511
91353,1,2,1,1
91354,2644,3295,651,0.246217852
91355,1847,2303,456,0.246886844
91356,2426,3132,706,0.291014015
91357,12,19,7,0.583333333
91358,,1,1,NaN
91359,20,22,2,0.1
91360,2009,2558,549,0.273270284
91361,1975,2436,461,0.233417722
91362,3023,3766,743,0.245782335
91363,,,0,NaN
91364,2521,3140,619,0.245537485
91365,8,14,6,0.75
91367,3097,4153,1056,0.340975137
91371,,4,4,NaN
91372,13,23,10,0.769230769
