 Substation Name, Nominal Voltage (kV), Redacted Data, Residential Customer Count, Commercial Customer Count, Industrial Customer Count, Agricultural Customer Count, Other Customers, Existing Distributed Generation (kW), Queued Distributed Generation (kW), Total Distributed Generation (kW),OBJECTID,feederid,feeder_name,division,last_update_on_map
MIRABEL,12kV,No,2209,144,22,52,5,3070,180,3250,872,042091102,MIRABEL 1102,Sonoma,6/2/2025 1:21:05 AM
SUMMIT,12kV,Yes,1002,67,26,0,8,50,0,50,873,152591101,SUMMIT 1101,Sierra,6/2/2025 1:21:05 AM
WOODACRE,12kV,No,1000,101,21,10,0,1570,220,1790,874,043021101,WOODACRE 1101,Sonoma,6/2/2025 1:21:05 AM
NEWMAN,12kV,No,829,63,2,122,1,1350,1180,2530,875,162741101,NEWMAN 1101,Yosemite,6/2/2025 1:21:05 AM
WATSONVILLE,4.16kV,No,553,143,10,0,5,230,10,240,876,083330411,WATSONVILLE 0411,Central Coast,6/2/2025 1:21:05 AM
CORCORAN,12kV,No,2240,257,62,35,2,4100,150,4250,877,252171108,CORCORAN 1108,Fresno,6/2/2025 1:21:05 AM
GRASS VALLEY,12kV,No,775,214,62,1,10,1610,600,2210,878,152031101,GRASS VALLEY 1101,Sierra,6/2/2025 1:21:05 AM
BELLEVUE,21kV,Yes,3686,622,220,2,26,4210,7880,12090,879,043182107,BELLEVUE 2107,Sonoma,6/2/2025 1:21:05 AM
SAN LEANDRO U,12kV,Yes,779,77,43,0,4,720,620,1340,880,013111111,SAN LEANDRO U 1111,Mission,6/2/2025 1:21:05 AM
TEVIS,21kV,No,3338,87,74,40,12,18820,1270,20090,881,255322101,TEVIS 2101,Kern,6/2/2025 1:21:05 AM
MISSION (X),12kV,No,632,176,109,0,13,0,0,0,882,022011154,MISSION (X) 1154,San Francisco,6/2/2025 1:21:05 AM
RED BLUFF,12kV,No,1621,234,58,25,2,4580,500,5080,883,103541105,RED BLUFF 1105,North Valley,6/2/2025 1:21:05 AM
OROVILLE,12kV,Yes,642,253,41,0,5,940,10,950,884,102521102,OROVILLE 1102,North Valley,6/2/2025 1:21:05 AM
NEWBURG,12kV,Yes,471,38,4,4,0,290,50,340,885,192151133,NEWBURG 1133,Humboldt,6/2/2025 1:21:05 AM
DIVIDE,12kV,Yes,1155,71,18,4,3,2450,1050,3500,886,182571101,DIVIDE 1101,Los Padres,11/3/2025 11:41:53 AM
BAY MEADOWS,21kV,No,145,31,67,0,6,540,0,540,887,024012105,BAY MEADOWS 2105,Peninsula,6/2/2025 1:21:05 AM
SAN LEANDRO U,12kV,Yes,23,131,125,0,4,890,40,930,888,013111103,SAN LEANDRO U 1103,Mission,6/2/2025 1:21:05 AM
BARRY,12kV,Yes,122,32,2,107,1,620,10190,10810,889,152111101,BARRY 1101,Sacramento,6/2/2025 1:21:05 AM
BELLE HAVEN,12kV,No,776,28,55,0,1,70,0,70,890,024021103,BELLE HAVEN 1103,Peninsula,6/2/2025 1:21:05 AM
SMYRNA,12kV,Yes,36,18,7,150,0,3880,7450,11330,891,253551102,SMYRNA 1102,Kern,6/2/2025 1:21:05 AM
BIOLA,12kV,No,703,112,11,385,1,1490,720,2210,892,252211101,BIOLA 1101,Fresno,6/2/2025 1:21:05 AM
NAPA,12kV,No,2397,259,48,0,8,2660,280,2940,893,042021103,NAPA 1103,North Bay,6/2/2025 1:21:05 AM
LARKIN (Y),12kV,No,0,7,13,0,0,0,0,0,894,022801116,LARKIN (Y) 1116,San Francisco,6/2/2025 1:21:05 AM
MONTE RIO,12kV,Yes,1040,93,13,0,1,270,10,280,895,042811112,MONTE RIO 1112,Sonoma,6/2/2025 1:21:05 AM
DEL MAR,12kV,Yes,91,121,64,0,1,840,20,860,896,152581104,DEL MAR 1104,Sierra,6/2/2025 1:21:05 AM
PASO ROBLES,12kV,No,1920,152,46,51,6,4870,1530,6400,897,182611107,PASO ROBLES 1107,Los Padres,6/2/2025 1:21:05 AM
ASHLAN AVE,21kV,No,1724,165,63,0,4,4750,120,4870,898,252052119,ASHLAN AVE 2119,Fresno,6/2/2025 1:21:05 AM
OREGON TRAIL,12kV,Yes,797,63,12,0,3,4370,250,4620,899,103521102,OREGON TRAIL 1102,North Valley,6/2/2025 1:21:05 AM
SANTA TERESA,21kV,Yes,1479,114,86,0,4,4990,880,5870,900,082962101,SANTA TERESA 2101,San Jose,6/2/2025 1:21:05 AM
PIERCY,21kV,No,2929,113,17,7,5,8720,700,9420,901,083912110,PIERCY 2110,San Jose,6/2/2025 1:21:05 AM
ACTON,4.16kV,No,1843,71,7,0,4,350,10,360,902,022470402,ACTON 0402,San Francisco,6/2/2025 1:21:05 AM
CHICO B,12kV,No,1476,174,25,11,3,2140,80,2220,903,102491103,CHICO B 1103,North Valley,6/2/2025 1:21:05 AM
MONTEREY,21kV,No,4239,487,154,0,18,2150,100,2250,904,182852204,VIEJO 2204,Central Coast,6/2/2025 1:21:05 AM
GERBER,12kV,Yes,456,73,4,127,7,2670,5100,7770,905,103391102,GERBER 1102,North Valley,6/2/2025 1:21:05 AM
FRUITVALE,12kV,No,2144,120,76,0,10,6270,1070,7340,906,253391106,FRUITVALE 1106,Kern,6/2/2025 1:21:05 AM
STELLING,12kV,Yes,3626,131,44,0,20,6470,1570,8040,907,083481111,STELLING 1111,De Anza,6/2/2025 1:21:05 AM
OAKLAND J,12kV,No,7197,386,99,0,19,2800,460,3260,908,012091116,OAKLAND J 1116,East Bay,6/2/2025 1:21:05 AM
SF L,4.16kV,Yes,1595,12,8,0,1,0,0,0,909,022260402,SF L 0402,San Francisco,6/2/2025 1:21:05 AM
UKIAH,12kV,No,1400,204,34,113,8,2160,250,2410,910,042771114,UKIAH 1114,Humboldt,6/2/2025 1:21:05 AM
SMYRNA,12kV,Yes,31,35,0,37,0,2090,9950,12040,911,253551101,SMYRNA 1101,Kern,6/2/2025 1:21:05 AM
EL CAPITAN,21kV,No,3932,78,28,1,7,6130,340,6470,912,253882110,EL CAPITAN 2110,Yosemite,6/2/2025 1:21:05 AM
FIREBAUGH,12kV,No,1631,218,63,138,17,4470,420,4890,913,253471102,FIREBAUGH 1102,Yosemite,6/2/2025 1:21:05 AM
BRITTON,12kV,Yes,1432,65,28,0,,908,935,1843,914,083611109,BRITTON 1109,De Anza,10/1/2025 11:34:20 AM
SHINGLE SPRINGS,21kV,Yes,1106,173,21,4,1,3300,10470,13770,915,153652110,SHINGLE SPRINGS 2110,Sierra,6/2/2025 1:21:05 AM
ASHLAN AVE,12kV,No,727,34,5,0,,2401,2660,5061,916,252051103,ASHLAN AVE 1103,Fresno,10/1/2025 7:51:54 AM
NEWARK 21KV,21kV,Yes,0,0,6,0,0,0,0,0,917,012232109,NEWARK 21KV 2109,Mission,6/2/2025 1:21:05 AM
OAKLAND D,12kV,Yes,2568,198,41,0,11,850,130,980,918,012041104,OAKLAND D 1104,East Bay,6/2/2025 1:21:05 AM
EL NIDO,12kV,No,144,15,4,293,0,1750,3840,5590,919,252451101,EL NIDO 1101,Yosemite,6/2/2025 1:21:05 AM
TEMPORARY CARBONA,12kV,Yes,354,66,14,106,1,2400,3100,5500,920,169951104,TEMPORARY CARBONA 1104,Stockton,6/2/2025 1:21:05 AM
BRITTON,12kV,No,1050,42,69,1,2,1250,10,1260,921,083611113,BRITTON 1113,De Anza,6/2/2025 1:21:05 AM
SARATOGA,12kV,No,2249,182,41,1,4,5960,830,6790,922,083371107,SARATOGA 1107,De Anza,6/2/2025 1:21:05 AM
CAMDEN,12kV,No,389,83,12,290,0,1310,1040,2350,923,252301104,CAMDEN 1104,Fresno,6/2/2025 1:21:05 AM
NORTECH,21kV,No,441,105,69,0,10,4560,5200,9760,924,082462110,NORTECH 2110,San Jose,6/2/2025 1:21:05 AM
HAMMONDS,12kV,Yes,50,43,5,157,11,2610,820,3430,925,253401102,HAMMONDS 1102,Yosemite,6/2/2025 1:21:05 AM
WILLIAMS,12kV,Yes,280,57,21,60,2,1120,260,1380,926,062051101,WILLIAMS 1101,Sacramento,6/2/2025 1:21:05 AM
BOGUE,12kV,No,2546,266,56,5,7,4280,580,4860,927,153781103,BOGUE 1103,Sacramento,6/2/2025 1:21:05 AM
TUPMAN,12kV,Yes,0,3,3,48,5,0,0,0,928,254561105,TUPMAN 1105,Kern,6/2/2025 1:21:05 AM
KNIGHTS LANDING,12kV,No,184,37,6,88,0,2060,370,2430,929,062721101,KNIGHTS LANDING 1101,Sacramento,6/2/2025 1:21:05 AM
CORCORAN,12kV,No,153,34,13,224,4,3190,4810,8000,930,252171118,CORCORAN 1118,Fresno,6/2/2025 1:21:05 AM
OAKLAND D,12kV,No,5493,278,84,0,20,630,330,960,931,012041110,OAKLAND D 1110,East Bay,6/2/2025 1:21:05 AM
WESTPARK,12kV,No,1799,179,47,0,2,1600,240,1840,932,253701101,WESTPARK 1101,Kern,6/2/2025 1:21:05 AM
DIXON,12kV,No,3240,183,111,27,5,8280,970,9250,933,062061106,DIXON 1106,North Bay,6/2/2025 1:21:05 AM
BANCROFT,4.16kV,No,930,37,4,0,4,720,40,760,934,013030402,BANCROFT 0402,East Bay,6/2/2025 1:21:05 AM
DAVIS,12kV,No,3639,141,16,5,3,5240,160,5400,935,062041103,DAVIS 1103,Sacramento,6/2/2025 1:21:05 AM
LAS GALLINAS A,12kV,No,4107,258,35,3,17,2810,170,2980,936,042991106,LAS GALLINAS A 1106,Sonoma,6/2/2025 1:21:05 AM
HURON,12kV,Yes,1,5,0,28,5,990,1000,1990,937,253161106,HURON 1106,Fresno,6/2/2025 1:21:05 AM
DALY CITY,12kV,No,3114,209,65,0,29,1240,320,1560,938,022641105,DALY CITY 1105,Peninsula,6/2/2025 1:21:05 AM
CLOVIS,12kV,No,996,350,107,0,5,4440,460,4900,939,254081106,CLOVIS 1106,Fresno,6/2/2025 1:21:05 AM
MARTELL,12kV,No,781,268,128,2,20,3840,260,4100,940,163011103,MARTELL 1103,Stockton,6/2/2025 1:21:05 AM
BAKERSFIELD,12kV,No,3445,226,48,0,15,1610,140,1750,941,253371114,BAKERSFIELD 1114,Kern,6/2/2025 1:21:05 AM
MC ARTHUR,12kV,No,1034,207,15,189,1,1970,280,2250,942,103491101,MC ARTHUR 1101,North Valley,6/2/2025 1:21:05 AM
MANCHESTER,12kV,No,2473,398,75,0,11,2220,680,2900,943,253921108,MANCHESTER 1108,Fresno,6/2/2025 1:21:05 AM
WRIGHT,12kV,Yes,408,104,25,181,8,2540,6830,9370,944,254641110,WRIGHT 1110,Yosemite,6/2/2025 1:21:05 AM
ANDERSON,12kV,No,903,305,85,0,,1766,1849,3615,945,103261102,ANDERSON 1102,North Valley,10/1/2025 7:51:54 AM
TIDEWATER,20.78kV,Yes,2286,240,95,0,18,4070,60,4130,946,014652110,TIDEWATER 2110,Diablo,10/1/2025 11:34:21 AM
AUBERRY,12kV,No,2883,325,44,14,3,4450,420,4870,947,254151101,AUBERRY 1101,Fresno,10/1/2025 11:34:22 AM
TUPMAN,12kV,No,183,68,44,94,6,2880,9950,12830,948,254561103,TUPMAN 1103,Kern,6/2/2025 1:21:05 AM
BERKELEY T,4.16kV,No,1529,108,26,0,7,160,40,200,949,012660401,BERKELEY T 0401,East Bay,6/2/2025 1:21:05 AM
POTRERO PP (A),12kV,Yes,2529,97,42,0,14,380,10,390,950,022031118,POTRERO PP (A) 1118,San Francisco,6/2/2025 1:21:05 AM
WOODWARD,21kV,No,1604,119,58,0,5,3300,290,3590,951,255292103,WOODWARD 2103,Fresno,6/2/2025 1:21:05 AM
PANORAMA,12kV,No,2436,123,11,38,2,4130,820,4950,952,103461102,PANORAMA 1102,North Valley,6/2/2025 1:21:05 AM
BIOLA,12kV,Yes,176,37,8,266,3,5060,1010,6070,953,252211103,BIOLA 1103,Fresno,6/2/2025 1:21:05 AM
MARYSVILLE,12kV,No,1989,111,17,94,2,3280,5380,8660,954,152011108,MARYSVILLE 1108,Sacramento,6/2/2025 1:21:05 AM
BERESFORD,4.16kV,Yes,95,105,32,0,5,70,0,70,955,024040401,BERESFORD 0401,Peninsula,6/2/2025 1:21:05 AM
MADISON,12kV,Yes,311,70,20,191,1,3380,1290,4670,956,063171105,MADISON 1105,Sacramento,6/2/2025 1:21:05 AM
OAKLAND C,12kV,No,66,59,37,0,5,600,0,600,957,012011106,OAKLAND C 1106,East Bay,6/2/2025 1:21:05 AM
WESTPARK,12kV,Yes,422,167,41,0,6,2290,0,2290,958,253701102,WESTPARK 1102,Kern,6/2/2025 1:21:05 AM
BURLINGAME,4.16kV,No,1122,44,5,0,3,1020,40,1060,959,024050402,BURLINGAME 0402,Peninsula,6/2/2025 1:21:05 AM
TWISSELMAN,12kV,Yes,4,15,6,93,1,3150,9390,12540,960,254401102,TWISSELMAN 1102,Kern,6/2/2025 1:21:05 AM
COTATI,12kV,Yes,1192,161,26,102,6,11200,400,11600,961,042271103,COTATI 1103,Sonoma,6/2/2025 1:21:05 AM
EAST STOCKTON,4.16kV,No,1140,91,14,0,10,830,100,930,962,163130402,EAST STOCKTON 0402,Stockton,6/2/2025 1:21:05 AM
FRUITVALE,12kV,No,1387,142,35,0,6,5970,230,6200,963,253391103,FRUITVALE 1103,Kern,6/2/2025 1:21:05 AM
BUTTE,12kV,No,704,286,142,1,10,3750,510,4260,964,103081105,BUTTE 1105,North Valley,6/2/2025 1:21:05 AM
TYLER,12kV,Yes,291,76,32,0,26,850,990,1840,965,103571103,TYLER 1103,North Valley,6/2/2025 1:21:05 AM
ATASCADERO,12kV,No,2905,301,65,1,7,3250,150,3400,966,182541102,ATASCADERO 1102,Los Padres,6/2/2025 1:21:05 AM
SAN LUIS OBISPO,12kV,Yes,1954,231,67,122,9,7540,450,7990,967,182631104,SAN LUIS OBISPO 1104,Los Padres,6/2/2025 1:21:05 AM
SYCAMORE CREEK,12kV,No,2682,319,60,1,8,3210,920,4130,968,102971105,SYCAMORE CREEK 1105,North Valley,6/2/2025 1:21:05 AM
PLEASANT GROVE,21kV,No,5202,134,105,0,10,13850,1250,15100,969,152442108,PLEASANT GROVE 2108,Sierra,6/2/2025 1:21:05 AM
NORD,12kV,No,2072,247,59,9,2,4800,340,5140,970,103071105,NORD 1105,North Valley,6/2/2025 1:21:05 AM
ROSSMOOR,12kV,No,2875,317,35,0,28,5690,730,6420,971,014161101,ROSSMOOR 1101,Diablo,6/2/2025 1:21:05 AM
GRASS VALLEY,12kV,No,1323,153,26,8,5,2770,300,3070,972,152031103,GRASS VALLEY 1103,Sierra,6/2/2025 1:21:05 AM
EL PATIO,12kV,No,5694,243,119,1,23,3170,160,3330,973,082921107,EL PATIO 1107,De Anza,6/2/2025 1:21:05 AM
RENFRO,21kV,No,4289,170,43,43,13,22030,880,22910,974,254572101,RENFRO 2101,Kern,6/2/2025 1:21:05 AM
LEMOORE,12kV,No,2223,88,26,11,9,6500,230,6730,975,253601102,LEMOORE 1102,Fresno,6/2/2025 1:21:05 AM
ARCATA,12kV,Yes,135,46,12,4,8,520,0,520,976,192021123,ARCATA 1123,Humboldt,6/2/2025 1:21:05 AM
RIVERBANK,17kV,No,2189,281,69,154,10,7760,340,8100,977,163191713,RIVERBANK 1713,Yosemite,6/2/2025 1:21:05 AM
MORAGA,12kV,No,1744,123,20,2,8,3290,200,3490,978,013801105,MORAGA 1105,Diablo,6/2/2025 1:21:05 AM
OAKLAND C,12kV,No,3233,354,130,0,24,6930,380,7310,979,012011109,OAKLAND C 1109,East Bay,6/2/2025 1:21:05 AM
MERCED,21kV,No,4545,651,147,1,50,6370,240,6610,980,252802102,MERCED 2102,Yosemite,6/2/2025 1:21:05 AM
SAN RAMON,21kV,No,1098,81,77,0,15,4780,890,5670,981,014232114,SAN RAMON 2114,Mission,6/2/2025 1:21:05 AM
SAN CARLOS,4.16kV,No,1253,105,34,0,2,740,70,810,982,024180402,SAN CARLOS 0402,Peninsula,6/2/2025 1:21:05 AM
PEABODY,21kV,No,5151,272,98,0,10,11950,3850,15800,983,063642113,PEABODY 2113,North Bay,6/2/2025 1:21:05 AM
PEASE,12kV,Yes,1082,188,21,304,5,16630,4270,20900,984,153751103,PEASE 1103,Sacramento,6/2/2025 1:21:05 AM
TASSAJARA,21kV,No,2375,185,47,0,9,7660,470,8130,985,014662112,TASSAJARA 2112,Diablo,6/2/2025 1:21:05 AM
VASCO,12kV,No,1412,179,29,36,9,2650,1270,3920,986,013751102,VASCO 1102,Mission,6/2/2025 1:21:05 AM
MORGAN HILL,21kV,No,2272,330,150,30,29,7210,1230,8440,987,083242108,MORGAN HILL 2108,San Jose,6/2/2025 1:21:05 AM
SANGER,12kV,Yes,1121,137,55,142,9,9670,1420,11090,988,252351110,SANGER 1110,Fresno,6/2/2025 1:21:05 AM
SANTA YNEZ,12kV,No,1767,482,92,29,2,2050,100,2150,989,182721102,SANTA YNEZ 1102,Los Padres,6/2/2025 1:21:05 AM
BELMONT,12kV,No,3561,147,29,0,28,1050,180,1230,990,024031101,BELMONT 1101,Peninsula,6/2/2025 1:21:05 AM
LAMMERS,12kV,No,2218,47,4,0,5,6290,160,6450,991,162771105,LAMMERS 1105,Stockton,6/2/2025 1:21:05 AM
WEIMAR,12kV,No,1676,95,17,1,6,3850,330,4180,992,152491101,WEIMAR 1101,Sierra,6/2/2025 1:21:05 AM
LAS GALLINAS A,12kV,No,1966,324,105,0,13,1410,760,2170,993,042991107,LAS GALLINAS A 1107,Sonoma,6/2/2025 1:21:05 AM
TEVIS,21kV,Yes,849,35,74,7,5,4720,100,4820,994,255322103,TEVIS 2103,Kern,6/2/2025 1:21:05 AM
LERDO,12kV,Yes,12,18,7,33,2,8270,3830,12100,995,253491115,LERDO 1115,Kern,6/2/2025 1:21:05 AM
HARTER,12kV,No,655,284,119,0,5,3190,740,3930,996,152851104,HARTER 1104,Sacramento,6/2/2025 1:21:05 AM
TRACY,4.16kV,No,533,32,2,0,0,720,380,1100,997,162880405,TRACY 0405,Stockton,6/2/2025 1:21:05 AM
BAKERSFIELD,12kV,No,383,357,136,0,18,1280,1600,2880,998,253371115,BAKERSFIELD 1115,Kern,6/2/2025 1:21:05 AM
COARSEGOLD,21kV,No,4079,296,30,12,3,10850,1000,11850,999,254432104,COARSEGOLD 2104,Yosemite,6/2/2025 1:21:05 AM
POTTER VALLEY P H,12kV,No,703,98,12,60,8,540,90,630,1000,042281105,POTTER VALLEY P H 1105,Humboldt,6/2/2025 1:21:05 AM
DALY CITY,12kV,No,4104,207,100,0,12,820,40,860,1001,022641102,DALY CITY 1102,Peninsula,6/2/2025 1:21:05 AM
BARTON,12kV,No,2624,375,69,0,18,2760,240,3000,1002,253571110,BARTON 1110,Fresno,6/2/2025 1:21:05 AM
FAIRWAY,12kV,No,5345,359,136,3,22,5710,1260,6970,1003,182061108,FAIRWAY 1108,Los Padres,11/3/2025 11:41:51 AM
MC FARLAND,12kV,Yes,32,17,1,63,0,1050,6850,7900,1004,253181105,MC FARLAND 1105,Kern,6/2/2025 1:21:05 AM
WEBER,12kV,Yes,0,28,63,0,0,2650,2750,5400,1005,163481113,WEBER 1113,Stockton,6/2/2025 1:21:05 AM
POTRERO PP (A),12kV,Yes,2955,213,41,0,25,830,20,850,1006,022031117,POTRERO PP (A) 1117,San Francisco,6/2/2025 1:21:05 AM
COVELO,12kV,No,1103,211,24,42,0,820,120,940,1007,043061101,COVELO 1101,Humboldt,6/2/2025 1:21:05 AM
MANCHESTER,12kV,No,2111,413,107,0,26,2250,920,3170,1008,253921109,MANCHESTER 1109,Fresno,6/2/2025 1:21:05 AM
SAN RAMON,21kV,No,567,221,110,0,25,6270,6850,13120,1009,014232105,SAN RAMON 2105,Mission,6/2/2025 1:21:05 AM
COTTONWOOD,12kV,No,1637,139,24,17,4,4650,490,5140,1010,102931102,COTTONWOOD 1102,North Valley,6/2/2025 1:21:05 AM
CARUTHERS,12kV,No,543,39,1,328,3,3500,1000,4500,1011,252371104,CARUTHERS 1104,Fresno,6/2/2025 1:21:05 AM
PANAMA,21kV,No,4606,265,62,46,21,11760,930,12690,1012,253422101,PANAMA 2101,Kern,6/2/2025 1:21:05 AM
CORNING,12kV,No,1879,173,31,140,5,5060,160,5220,1013,103331101,CORNING 1101,North Valley,6/2/2025 1:21:05 AM
DIXON LANDING,21kV,No,3709,253,96,0,12,3410,440,3850,1014,014722101,DIXON LANDING 2101,Mission,6/2/2025 1:21:05 AM
COPUS,12kV,Yes,7,14,4,29,0,4580,800,5380,1015,253871102,COPUS 1102,Kern,6/2/2025 1:21:05 AM
MISSION (X),12kV,No,3071,213,75,0,15,370,120,490,1016,022011128,MISSION (X) 1128,San Francisco,6/2/2025 1:21:05 AM
REDWOOD CITY,4.16kV,No,963,139,23,0,6,650,100,750,1017,024160406,REDWOOD CITY 0406,Peninsula,6/2/2025 1:21:05 AM
OTTER,12kV,No,364,127,31,4,0,430,300,730,1018,182941102,OTTER 1102,Central Coast,6/2/2025 1:21:05 AM
MISSION (X),12kV,Yes,1196,159,98,0,106,300,0,300,1019,022011104,MISSION (X) 1104,San Francisco,6/2/2025 1:21:05 AM
LAWRENCE,12kV,Yes,57,2,8,0,2,10,30,40,1020,083421109,LAWRENCE 1109,De Anza,6/2/2025 1:21:05 AM
SF H,12kV,No,5212,224,37,0,44,1650,120,1770,1021,022101108,SF H 1108,Peninsula,6/2/2025 1:21:05 AM
21ST AVENUE,4.16kV,No,1095,125,10,0,1,190,20,210,1022,022550401,21ST AVENUE 0401,San Francisco,6/2/2025 1:21:05 AM
RINCON,12kV,No,3044,212,60,0,15,1720,400,2120,1023,043321104,RINCON 1104,Sonoma,6/2/2025 1:21:05 AM
COTTLE,17kV,No,442,36,7,66,3,2670,5050,7720,1024,163711703,COTTLE 1703,Yosemite,6/2/2025 1:21:05 AM
SF M,4.16kV,No,1998,61,2,0,3,830,50,880,1025,022270406,SF M 0406,San Francisco,6/2/2025 1:21:05 AM
LAS POSITAS,21kV,No,5340,151,14,0,8,8880,380,9260,1026,014402106,LAS POSITAS 2106,Mission,6/2/2025 1:21:05 AM
SAN CARLOS,4.16kV,No,1044,147,16,0,1,1490,160,1650,1027,024180406,SAN CARLOS 0406,Peninsula,6/2/2025 1:21:05 AM
SF E,12kV,No,3001,65,10,0,5,850,60,910,1028,022071101,SF E 1101,San Francisco,6/2/2025 1:21:05 AM
SF J,12kV,No,0,27,30,0,3,0,0,0,1029,022221101,SF J 1101,San Francisco,6/2/2025 1:21:05 AM
OAKLAND D,12kV,No,4882,393,108,0,19,1230,720,1950,1030,012041105,OAKLAND D 1105,East Bay,6/2/2025 1:21:05 AM
HARTER,12kV,Yes,771,152,81,2,6,2820,1200,4020,1031,152851106,HARTER 1106,Sacramento,6/2/2025 1:21:05 AM
EL CERRITO G,12kV,No,2771,158,45,0,18,2140,910,3050,1032,012501111,EL CERRITO G 1111,East Bay,6/2/2025 1:21:05 AM
LAKEWOOD,12kV,Yes,65,54,39,0,,230,230,460,1033,013531101,LAKEWOOD 1101,Diablo,10/1/2025 7:51:52 AM
TULARE LAKE,12kV,Yes,6,22,10,53,3,3300,0,3300,1034,252951108,TULARE LAKE 1108,Fresno,6/2/2025 1:21:05 AM
JAMESON,12kV,No,2007,336,135,166,12,6510,3750,10260,1035,063801105,JAMESON 1105,North Bay,6/2/2025 1:21:05 AM
8TH AVENUE,4.16kV,No,1867,28,2,0,,322,345,667,1036,012670401,8TH AVENUE 0401,East Bay,10/1/2025 7:51:55 AM
WEST FRESNO,12kV,Yes,766,108,22,0,9,10690,60,10750,1037,253731105,WEST FRESNO 1105,Fresno,6/2/2025 1:21:05 AM
LAS PULGAS,4.16kV,No,1518,39,8,0,7,1560,80,1640,1038,024120401,LAS PULGAS 0401,Peninsula,6/2/2025 1:21:05 AM
BELLE HAVEN,4.16kV,Yes,693,20,8,0,2,950,80,1030,1039,024020405,BELLE HAVEN 0405,Peninsula,6/2/2025 1:21:05 AM
EMBARCADERO (Z),12kV,No,120,18,29,0,2,1200,0,1200,1040,022871111,EMBARCADERO (Z) 1111,San Francisco,6/2/2025 1:21:05 AM
WATSONVILLE,4.16kV,Yes,47,6,0,0,4,10,0,10,1041,083330414,WATSONVILLE 0414,Central Coast,6/2/2025 1:21:05 AM
EL CERRITO G,12kV,No,4159,495,160,0,13,2640,880,3520,1042,012501113,EL CERRITO G 1113,East Bay,6/2/2025 1:21:05 AM
LARKIN (Y),12kV,No,2806,242,120,0,2,10,0,10,1043,022801101,LARKIN (Y) 1101,San Francisco,6/2/2025 1:21:05 AM
SAN JOSE B,12kV,Yes,667,44,37,0,4,730,0,730,1044,082261113,SAN JOSE B 1113,San Jose,6/2/2025 1:21:05 AM
WEST FRESNO,12kV,Yes,338,43,26,12,1,420,30,450,1045,253731110,WEST FRESNO 1110,Fresno,6/2/2025 1:21:05 AM
HONCUT,12kV,Yes,799,170,25,242,4,3210,2280,5490,1046,103211101,HONCUT 1101,North Valley,6/2/2025 1:21:05 AM
WILSON,12kV,Yes,146,20,18,105,5,1380,300,1680,1047,254301102,WILSON 1102,Yosemite,6/2/2025 1:21:05 AM
PINEDALE,21kV,No,1548,213,111,0,7,5510,770,6280,1048,252852105,PINEDALE 2105,Fresno,6/2/2025 1:21:05 AM
MILLBRAE,4.16kV,No,455,140,31,0,2,440,360,800,1049,022690401,MILLBRAE 0401,Peninsula,6/2/2025 1:21:05 AM
CORCORAN,12kV,Yes,48,11,3,113,0,7280,3950,11230,1050,252171104,CORCORAN 1104,Fresno,6/2/2025 1:21:05 AM
HARTER,12kV,No,1672,169,69,0,8,4640,3010,7650,1051,152851102,HARTER 1102,Sacramento,6/2/2025 1:21:05 AM
BUENA VISTA,12kV,Yes,284,149,40,34,3,1570,860,2430,1052,182261102,BUENA VISTA 1102,Central Coast,6/2/2025 1:21:05 AM
DUMBARTON,12kV,Yes,2236,79,37,3,7,2340,150,2490,1053,014471110,DUMBARTON 1110,Mission,6/2/2025 1:21:05 AM
SCHINDLER,12kV,Yes,24,22,0,48,24,400,130,530,1054,252891111,SCHINDLER 1111,Fresno,6/2/2025 1:21:05 AM
BRENTWOOD,21kV,Yes,2343,248,88,149,22,13030,8490,21520,1055,014592105,BRENTWOOD 2105,Diablo,6/2/2025 1:21:05 AM
CAYETANO,21kV,No,1822,177,120,4,11,4300,390,4690,1056,014422111,CAYETANO 2111,Mission,6/2/2025 1:21:05 AM
MISSION (X),12kV,Yes,1387,91,52,0,10,230,0,230,1057,022011107,MISSION (X) 1107,San Francisco,6/2/2025 1:21:05 AM
STOCKTON A,12kV,Yes,438,76,47,2,13,1130,120,1250,1058,162371102,STOCKTON A 1102,Stockton,6/2/2025 1:21:05 AM
BUTTE,12kV,No,984,153,66,152,8,5310,3700,9010,1059,103081103,BUTTE 1103,North Valley,6/2/2025 1:21:05 AM
PINE GROVE,12kV,No,3931,431,37,8,7,4640,8050,12690,1060,163751102,PINE GROVE 1102,Stockton,6/2/2025 1:21:05 AM
BELL,12kV,No,3210,242,49,14,5,7060,680,7740,1061,152701108,BELL 1108,Sierra,6/2/2025 1:21:05 AM
PLACER,12kV,Yes,35,2,0,0,1,60,0,60,1062,152461102,PLACER 1102,Sierra,6/2/2025 1:21:05 AM
SALINAS,12kV,No,3643,258,67,34,19,4150,50,4200,1063,182011109,SALINAS 1109,Central Coast,6/2/2025 1:21:05 AM
SF H,12kV,No,2362,301,105,0,12,3300,1340,4640,1064,022101110,SF H 1110,Peninsula,6/2/2025 1:21:05 AM
PAUL SWEET,21kV,No,6583,407,53,0,10,4370,270,4640,1065,083252101,PAUL SWEET 2101,Central Coast,6/2/2025 1:21:05 AM
SHINGLE SPRINGS,12kV,No,727,334,116,3,3,3260,7260,10520,1066,153651103,SHINGLE SPRINGS 1103,Sierra,6/2/2025 1:21:05 AM
