 Substation Name, Nominal Voltage (kV), Redacted Data, Residential Customer Count, Commercial Customer Count, Industrial Customer Count, Agricultural Customer Count, Other Customers, Existing Distributed Generation (kW), Queued Distributed Generation (kW), Total Distributed Generation (kW),OBJECTID,feederid,feeder_name,division,last_update_on_map
BULLARD,21kV,No,2948,167,167,3,14,9300,230,9530,44,253962114,BULLARD 2114,Fresno,6/2/2025 1:21:05 AM
UKIAH,12kV,No,1416,163,102,17,2,3000,150,3150,45,042771115,UKIAH 1115,Humboldt,6/2/2025 1:21:05 AM
KINGSBURG,12kV,No,280,36,6,428,2,8880,1400,10280,46,252241110,KINGSBURG 1110,Fresno,6/2/2025 1:21:05 AM
DUMBARTON,12kV,No,5469,122,30,0,6,2320,320,2640,47,014471103,DUMBARTON 1103,Mission,6/2/2025 1:21:05 AM
COLUSA,12kV,No,889,256,27,109,1,20880,660,21540,48,062021101,COLUSA 1101,Sacramento,6/2/2025 1:21:05 AM
CALFLAX,12kV,Yes,0,0,2,0,1,1930,0,1930,49,253441106,CALFLAX 1106,Fresno,6/2/2025 1:21:05 AM
MISSION (X),12kV,Yes,1688,68,5,0,20,290,10,300,50,022011118,MISSION (X) 1118,San Francisco,6/2/2025 1:21:05 AM
MERIDIAN,12kV,No,160,58,8,191,1,1780,6090,7870,51,062541102,MERIDIAN 1102,Sacramento,6/2/2025 1:21:05 AM
BARTON,12kV,No,834,22,7,0,6,750,140,890,52,253571106,BARTON 1106,Fresno,6/2/2025 1:21:05 AM
LARKIN (Y),12kV,No,3485,301,145,0,22,580,10,590,53,022801111,LARKIN (Y) 1111,San Francisco,6/2/2025 1:21:05 AM
VACAVILLE,12kV,No,2523,32,7,0,1,4740,100,4840,54,063601112,VACAVILLE 1112,North Bay,6/2/2025 1:21:05 AM
LOS COCHES,12kV,Yes,33,12,6,78,0,3620,5090,8710,55,182151102,LOS COCHES 1102,Central Coast,6/2/2025 1:21:05 AM
BEN LOMOND,4.16kV,No,820,61,5,0,1,1060,80,1140,56,083040401,BEN LOMOND 0401,Central Coast,6/2/2025 1:21:05 AM
BERESFORD,4.16kV,No,1358,55,2,1,9,2160,290,2450,57,024040403,BERESFORD 0403,Peninsula,6/2/2025 1:21:05 AM
WESTLEY,12kV,Yes,240,102,36,232,35,970,2050,3020,58,162671101,WESTLEY 1101,Yosemite,6/2/2025 1:21:05 AM
SYCAMORE CREEK,12kV,No,2293,78,16,2,2,7600,280,7880,59,102971109,SYCAMORE CREEK 1109,North Valley,6/2/2025 1:21:05 AM
DINUBA,12kV,Yes,93,16,24,63,1,3000,3750,6750,60,254091106,DINUBA 1106,Fresno,6/2/2025 1:21:05 AM
BELLE HAVEN,4.16kV,No,1549,67,11,0,11,1310,300,1610,61,024020401,BELLE HAVEN 0401,Peninsula,6/2/2025 1:21:05 AM
LAS POSITAS,21kV,No,3489,330,165,0,12,4270,990,5260,62,014402104,LAS POSITAS 2104,Mission,6/2/2025 1:21:05 AM
SAN BENITO,21kV,No,1136,93,16,51,1,2770,160,2930,63,182742104,SAN BENITO 2104,Central Coast,6/2/2025 1:21:05 AM
GATES,12kV,Yes,31,22,1,70,5,5820,3750,9570,64,253931106,GATES 1106,Fresno,6/2/2025 1:21:05 AM
FREMONT,12kV,No,5414,392,130,0,21,3600,2220,5820,65,014351107,FREMONT 1107,Mission,6/2/2025 1:21:05 AM
WILKINS SLOUGH,12kV,Yes,38,18,6,83,4,440,640,1080,66,062771101,WILKINS SLOUGH 1101,Sacramento,6/2/2025 1:21:05 AM
SAN BENITO,21kV,Yes,1379,288,47,78,10,5260,340,5600,67,182742101,SAN BENITO 2101,Central Coast,6/2/2025 1:21:05 AM
NORTH TOWER,12kV,No,4587,345,69,0,28,3030,290,3320,68,042041104,NORTH TOWER 1104,North Bay,6/2/2025 1:21:05 AM
OAKLAND D,12kV,No,3455,334,133,0,18,1750,530,2280,69,012041131,OAKLAND D 1131,East Bay,6/2/2025 1:21:05 AM
WEST FRESNO,12kV,No,1795,121,33,71,12,4500,630,5130,70,253731112,WEST FRESNO 1112,Fresno,6/2/2025 1:21:05 AM
STONE,12kV,No,3499,170,31,0,17,5820,1340,7160,71,083701101,STONE 1101,San Jose,6/2/2025 1:21:05 AM
LAS POSITAS,21kV,No,3936,198,79,2,14,8380,540,8920,72,014402107,LAS POSITAS 2107,Mission,6/2/2025 1:21:05 AM
MILPITAS,12kV,No,3949,102,25,0,7,5850,370,6220,73,082831108,MILPITAS 1108,San Jose,6/2/2025 1:21:05 AM
EAST GRAND,4.16kV,No,1276,131,23,0,9,410,40,450,74,022570401,EAST GRAND 0401,Peninsula,6/2/2025 1:21:05 AM
EAST STOCKTON,4.16kV,No,1011,123,21,0,13,910,140,1050,75,163130401,EAST STOCKTON 0401,Stockton,6/2/2025 1:21:05 AM
LAKEVIEW,12kV,Yes,8,23,18,60,0,1200,6270,7470,76,253411106,LAKEVIEW 1106,Kern,6/2/2025 1:21:05 AM
MC KEE,12kV,No,3909,256,79,0,15,3050,1120,4170,77,083531104,MC KEE 1104,San Jose,6/2/2025 1:21:05 AM
BRITTON,12kV,No,2239,178,91,0,16,940,0,940,78,083611105,BRITTON 1105,De Anza,6/2/2025 1:21:05 AM
SPAULDING,12kV,Yes,85,40,14,0,32,10,0,10,79,152251101,SPAULDING 1101,Sierra,6/2/2025 1:21:05 AM
WEST SACRAMENTO,12kV,No,2164,248,73,0,8,2490,610,3100,80,063131107,WEST SACRAMENTO 1107,Sacramento,6/2/2025 1:21:05 AM
ROCKLIN,12kV,Yes,576,97,18,0,0,1080,70,1150,81,152061104,ROCKLIN 1104,Sierra,6/2/2025 1:21:05 AM
MONTE RIO,12kV,No,3527,345,43,4,9,1600,190,1790,82,042811113,MONTE RIO 1113,Sonoma,6/2/2025 1:21:05 AM
LARKIN (Y),12kV,Yes,1683,104,44,0,9,110,0,110,83,022801128,LARKIN (Y) 1128,San Francisco,6/2/2025 1:21:05 AM
MT EDEN,12kV,Yes,3233,187,50,0,15,4850,2950,7800,84,013761103,MT EDEN 1103,Mission,6/2/2025 1:21:05 AM
EL CERRITO G,12kV,Yes,1285,152,37,0,10,1020,20,1040,85,012501114,EL CERRITO G 1114,East Bay,6/2/2025 1:21:05 AM
DAVIS,12kV,No,2102,156,80,46,11,9460,4540,14000,86,062041101,DAVIS 1101,Sacramento,6/2/2025 1:21:05 AM
TEMPLETON,21kV,No,3648,274,67,299,3,16190,3750,19940,87,183052109,TEMPLETON 2109,Los Padres,6/2/2025 1:21:05 AM
HOLLISTER,21kV,No,941,250,112,102,7,3550,5440,8990,88,182492104,HOLLISTER 2104,Central Coast,6/2/2025 1:21:05 AM
CORTINA,12kV,Yes,84,55,8,107,7,2270,6940,9210,89,063121101,CORTINA 1101,Sacramento,6/2/2025 1:21:05 AM
SUISUN,12kV,No,268,116,110,0,4,720,0,720,90,062131111,SUISUN 1111,North Bay,6/2/2025 1:21:05 AM
OAKLAND L,12kV,No,2438,203,115,0,12,1300,680,1980,91,012111103,OAKLAND L 1103,East Bay,6/2/2025 1:21:05 AM
PINEDALE,21kV,Yes,2297,375,234,1,8,5170,930,6100,92,252852106,PINEDALE 2106,Fresno,6/2/2025 1:21:05 AM
VOLTA,12kV,No,2459,160,21,8,9,1270,250,1520,93,102541102,VOLTA 1102,North Valley,6/2/2025 1:21:05 AM
ALTO,12kV,No,2193,114,24,0,12,2910,220,3130,94,042031123,ALTO 1123,Sonoma,6/2/2025 1:21:05 AM
MORGAN HILL,21kV,Yes,983,146,122,1,5,6850,2620,9470,95,083242103,MORGAN HILL 2103,San Jose,6/2/2025 1:21:05 AM
PARADISE,12kV,No,804,124,29,1,6,1000,160,1160,96,102831102,PARADISE 1102,North Valley,6/2/2025 1:21:05 AM
STOCKDALE,21kV,No,1581,226,76,0,6,3170,490,3660,97,254072106,STOCKDALE 2106,Kern,6/2/2025 1:21:05 AM
POTRERO PP (A),12kV,No,3747,423,137,0,30,920,160,1080,98,022031110,POTRERO PP (A) 1110,San Francisco,6/2/2025 1:21:05 AM
HICKS,12kV,No,2483,52,26,0,3,3810,160,3970,99,083431115,HICKS 1115,San Jose,6/2/2025 1:21:05 AM
SAN CARLOS,4.16kV,No,1567,77,18,0,3,1320,60,1380,100,024180405,SAN CARLOS 0405,Peninsula,6/2/2025 1:21:05 AM
PANAMA,21kV,No,5982,223,67,33,16,11710,670,12380,101,253422102,PANAMA 2102,Kern,6/2/2025 1:21:05 AM
FRUITVALE,12kV,No,2077,120,67,8,6,9410,260,9670,102,253391104,FRUITVALE 1104,Kern,6/2/2025 1:21:05 AM
SARATOGA,12kV,Yes,1688,52,5,1,6,4540,520,5060,103,083371104,SARATOGA 1104,De Anza,6/2/2025 1:21:05 AM
EL PATIO,12kV,No,3971,147,74,0,9,2500,1180,3680,104,082921103,EL PATIO 1103,De Anza,6/2/2025 1:21:05 AM
WOOD,4.16kV,No,708,10,0,0,1,1350,140,1490,105,013380401,WOOD 0401,East Bay,6/2/2025 1:21:05 AM
COALINGA NO 2,12kV,Yes,26,39,12,19,12,130,10720,10850,106,252381106,COALINGA NO 2 1106,Fresno,6/2/2025 1:21:05 AM
WEEDPATCH,12kV,No,825,143,40,42,9,2660,300,2960,107,252971101,WEEDPATCH 1101,Kern,6/2/2025 1:21:05 AM
MOLINO,12kV,No,3750,384,89,148,9,9890,1120,11010,108,042571102,MOLINO 1102,Sonoma,6/2/2025 1:21:05 AM
CLAYTON,21kV,No,3201,188,36,4,19,8060,400,8460,109,012022212,CLAYTON 2212,Diablo,6/2/2025 1:21:05 AM
LE GRAND,12kV,Yes,87,20,7,261,1,5770,970,6740,110,255361106,LE GRAND 1106,Yosemite,6/2/2025 1:21:05 AM
HAMMER,12kV,No,1404,107,31,0,8,2640,200,2840,111,163301104,HAMMER 1104,Stockton,6/2/2025 1:21:05 AM
TEMBLOR,12kV,Yes,6,33,29,2,0,3750,17020,20770,112,252551104,TEMBLOR 1104,Kern,6/2/2025 1:21:05 AM
