feederid,month,hour,kwh_1_1_NS_C,kwh_1_1_NS_I,kwh_1_1_NS_N,kwh_1_1_NS_S,kwh_1_1_S_C,kwh_1_1_S_I,kwh_1_1_S_N,kwh_1_1_S_S,kwh_1_2_NS_C,kwh_1_2_NS_I,kwh_1_2_NS_N,kwh_1_2_NS_S,kwh_1_2_S_C,kwh_1_2_S_I,kwh_1_2_S_N,kwh_1_2_S_S,kwh_1_3_NS_C,kwh_1_3_NS_I,kwh_1_3_NS_N,kwh_1_3_NS_S,kwh_1_3_S_C,kwh_1_3_S_I,kwh_1_3_S_N,kwh_1_3_S_S,kwh_1_4_NS_C,kwh_1_4_NS_I,kwh_1_4_NS_N,kwh_1_4_NS_S,kwh_1_4_S_C,kwh_1_4_S_I,kwh_1_4_S_N,kwh_1_4_S_S,kwh_1_5_NS_C,kwh_1_5_NS_I,kwh_1_5_NS_N,kwh_1_5_NS_S,kwh_1_5_S_C,kwh_1_5_S_I,kwh_1_5_S_N,kwh_1_5_S_S,kwh_2_1_NS_C,kwh_2_1_NS_I,kwh_2_1_NS_N,kwh_2_1_NS_S,kwh_2_1_S_C,kwh_2_1_S_I,kwh_2_1_S_N,kwh_2_1_S_S,kwh_2_2_NS_C,kwh_2_2_NS_I,kwh_2_2_NS_N,kwh_2_2_NS_S,kwh_2_2_S_C,kwh_2_2_S_I,kwh_2_2_S_N,kwh_2_2_S_S,kwh_2_3_NS_C,kwh_2_3_NS_I,kwh_2_3_NS_N,kwh_2_3_NS_S,kwh_2_3_S_C,kwh_2_3_S_I,kwh_2_3_S_N,kwh_2_3_S_S,kwh_2_4_NS_C,kwh_2_4_NS_I,kwh_2_4_NS_N,kwh_2_4_NS_S,kwh_2_4_S_C,kwh_2_4_S_I,kwh_2_4_S_N,kwh_2_4_S_S,kwh_2_5_NS_C,kwh_2_5_NS_I,kwh_2_5_NS_N,kwh_2_5_NS_S,kwh_2_5_S_C,kwh_2_5_S_I,kwh_2_5_S_N,kwh_2_5_S_S,kwh_3_1_NS_C,kwh_3_1_NS_I,kwh_3_1_NS_N,kwh_3_1_NS_S,kwh_3_1_S_C,kwh_3_1_S_I,kwh_3_1_S_N,kwh_3_1_S_S,kwh_3_2_NS_C,kwh_3_2_NS_I,kwh_3_2_NS_N,kwh_3_2_NS_S,kwh_3_2_S_C,kwh_3_2_S_I,kwh_3_2_S_N,kwh_3_2_S_S,kwh_3_3_NS_C,kwh_3_3_NS_I,kwh_3_3_NS_N,kwh_3_3_NS_S,kwh_3_3_S_C,kwh_3_3_S_I,kwh_3_3_S_N,kwh_3_3_S_S,kwh_3_4_NS_C,kwh_3_4_NS_I,kwh_3_4_NS_N,kwh_3_4_NS_S,kwh_3_4_S_C,kwh_3_4_S_I,kwh_3_4_S_N,kwh_3_4_S_S,kwh_3_5_NS_C,kwh_3_5_NS_I,kwh_3_5_NS_N,kwh_3_5_NS_S,kwh_3_5_S_C,kwh_3_5_S_I,kwh_3_5_S_N,kwh_3_5_S_S,kwh_4_1_NS_C,kwh_4_1_NS_I,kwh_4_1_NS_N,kwh_4_1_NS_S,kwh_4_1_S_C,kwh_4_1_S_I,kwh_4_1_S_N,kwh_4_1_S_S,kwh_4_2_NS_C,kwh_4_2_NS_I,kwh_4_2_NS_N,kwh_4_2_NS_S,kwh_4_2_S_C,kwh_4_2_S_I,kwh_4_2_S_N,kwh_4_2_S_S,kwh_4_3_NS_C,kwh_4_3_NS_I,kwh_4_3_NS_N,kwh_4_3_NS_S,kwh_4_3_S_C,kwh_4_3_S_I,kwh_4_3_S_N,kwh_4_3_S_S,kwh_4_4_NS_C,kwh_4_4_NS_I,kwh_4_4_NS_N,kwh_4_4_NS_S,kwh_4_4_S_C,kwh_4_4_S_I,kwh_4_4_S_N,kwh_4_4_S_S,kwh_4_5_NS_C,kwh_4_5_NS_I,kwh_4_5_NS_N,kwh_4_5_NS_S,kwh_4_5_S_C,kwh_4_5_S_I,kwh_4_5_S_N,kwh_4_5_S_S,ZIP_CODE,2023,2024,YoY Change,%change,loadorgen,min_ica_of,nominal voltage (kv),redacted data,residential customer count,commercial customer count,industrial customer count,agricultural customer count,other customers,existing distributed generation (kw),queued distributed generation (kw),total distributed generation (kw),voltage
12060401,5.0,0.0,0.1476412585827179,0.0,0.0,0.0,0.5842022540980774,0.0,0.0,0.0,0.293023533229693,0.0,0.0,0.0,0.6608915434128823,0.0,0.0,0.0,0.4254002500908942,0.0,0.0,0.0,0.8648833524365445,0.0,0.0,0.0,0.8860547236636412,0.0,0.0,0.0,1.437860655034226,0.0,0.0,0.0,0.3287969510758957,0.0,0.0,0.0,0.94255633713182,0.0,0.0,0.0,0.1723048981205398,0.0,0.0,0.0,0.686948923018314,0.0,0.0,0.0,0.2574675578329783,0.0,0.0,0.0,0.6927681238594966,0.0,0.0,0.0,0.3999378592785579,0.0,0.0,0.0,0.8594773027962211,0.0,0.0,0.0,0.7321766768718996,0.0,0.0,0.0,1.4397587290533804,0.0,0.0,0.0,0.3618400523467439,0.0,0.0,0.0,1.2729964463424313,0.0,0.0,0.0,0.1448506622661047,0.0,0.0,0.0,0.4304245744009993,0.0,0.0,0.0,0.2661483384611255,0.0,0.0,0.0,0.5310675300956447,0.0,0.0,0.0,0.4010369913849706,0.0,0.0,0.0,0.588517945560882,0.0,0.0,0.0,0.6807442398526519,0.0,0.0,0.0,0.8759282519956852,0.0,0.0,0.0,0.2788983342831951,0.0,0.0,0.0,0.9794084194165092,0.0,0.0,0.0,0.1399309818433262,0.0,0.0,0.0,0.4527297999311369,0.0,0.0,0.0,0.2454531585373287,0.0,0.0,0.0,0.5874113323717921,0.0,0.0,0.0,0.3548502365883931,0.0,0.0,0.0,0.7483155125485454,0.0,0.0,0.0,0.6352687226532575,0.0,0.0,0.0,1.0354123703434803,0.0,0.0,0.0,0.3325414966267619,0.0,0.0,0.0,0.8555971392041685,0.0,0.0,0.0,94704,347.0,405.0,58.0,0.167146974,,,4.16kV,Yes,0,3,2,0,0.0,0,0,0,4
12060401,5.0,1.0,0.1360220899205563,0.0,0.0,0.0,0.5155700370265703,0.0,0.0,0.0,0.2659740197961461,0.0,0.0,0.0,0.6038830897262027,0.0,0.0,0.0,0.3779587149764511,0.0,0.0,0.0,0.8115041315938617,0.0,0.0,0.0,0.8804099378784651,0.0,0.0,0.0,1.3461730564132934,0.0,0.0,0.0,0.2975814540743619,0.0,0.0,0.0,0.8943831825564559,0.0,0.0,0.0,0.1592727850667013,0.0,0.0,0.0,0.6299385955584618,0.0,0.0,0.0,0.2325319378993601,0.0,0.0,0.0,0.6337429717272767,0.0,0.0,0.0,0.3553270185986037,0.0,0.0,0.0,0.7742911595889548,0.0,0.0,0.0,0.6629646002616084,0.0,0.0,0.0,1.31889935866017,0.0,0.0,0.0,0.3339394745433346,0.0,0.0,0.0,1.1971232248237589,0.0,0.0,0.0,0.1336705732711448,0.0,0.0,0.0,0.3899873685905341,0.0,0.0,0.0,0.2430251245941101,0.0,0.0,0.0,0.4952727549997914,0.0,0.0,0.0,0.3629661451717379,0.0,0.0,0.0,0.5293532943443128,0.0,0.0,0.0,0.6248760203443796,0.0,0.0,0.0,0.8248295421717343,0.0,0.0,0.0,0.2569535909506915,0.0,0.0,0.0,0.9125870659704376,0.0,0.0,0.0,0.1310634950081282,0.0,0.0,0.0,0.4128833499953732,0.0,0.0,0.0,0.2165782369854026,0.0,0.0,0.0,0.5207778738308554,0.0,0.0,0.0,0.3188966042149869,0.0,0.0,0.0,0.6919541152318335,0.0,0.0,0.0,0.5953640835160433,0.0,0.0,0.0,0.9499428649529954,0.0,0.0,0.0,0.2990180388567798,0.0,0.0,0.0,0.7993838542786654,0.0,0.0,0.0,94704,347.0,405.0,58.0,0.167146974,,,4.16kV,Yes,0,3,2,0,0.0,0,0,0,4
12060401,5.0,2.0,0.1293857056738922,0.0,0.0,0.0,0.4772553058594099,0.0,0.0,0.0,0.252069889610471,0.0,0.0,0.0,0.5883018764239976,0.0,0.0,0.0,0.3550888251779229,0.0,0.0,0.0,0.7682639575969856,0.0,0.0,0.0,0.8684804284776985,0.0,0.0,0.0,1.2794285063003017,0.0,0.0,0.0,0.2859386060370514,0.0,0.0,0.0,0.8565811236430747,0.0,0.0,0.0,0.1509931064486875,0.0,0.0,0.0,0.5815025290007639,0.0,0.0,0.0,0.2237190621382511,0.0,0.0,0.0,0.6077092531212079,0.0,0.0,0.0,0.3276455460587416,0.0,0.0,0.0,0.7157451616508369,0.0,0.0,0.0,0.6182638572521094,0.0,0.0,0.0,1.2532747492120544,0.0,0.0,0.0,0.3215139033553569,0.0,0.0,0.0,1.15053895610873,0.0,0.0,0.0,0.1276941724243998,0.0,0.0,0.0,0.3741768359828811,0.0,0.0,0.0,0.2298578713647514,0.0,0.0,0.0,0.4756232708793776,0.0,0.0,0.0,0.3406036617061378,0.0,0.0,0.0,0.4989970488643576,0.0,0.0,0.0,0.5952378453461766,0.0,0.0,0.0,0.7929470847885035,0.0,0.0,0.0,0.2414907713768706,0.0,0.0,0.0,0.8826807331469481,0.0,0.0,0.0,0.1234345791030929,0.0,0.0,0.0,0.3874802964641051,0.0,0.0,0.0,0.2001013737572558,0.0,0.0,0.0,0.4791781117741627,0.0,0.0,0.0,0.3012811525561142,0.0,0.0,0.0,0.6591298109763126,0.0,0.0,0.0,0.5653250364613399,0.0,0.0,0.0,0.8953514831162352,0.0,0.0,0.0,0.2778803847021803,0.0,0.0,0.0,0.8030538401331141,0.0,0.0,0.0,94704,347.0,405.0,58.0,0.167146974,,,4.16kV,Yes,0,3,2,0,0.0,0,0,0,4
12060401,5.0,3.0,0.1253063946733865,0.0,0.0,0.0,0.4600826862308246,0.0,0.0,0.0,0.2428708330637848,0.0,0.0,0.0,0.5737150971679924,0.0,0.0,0.0,0.3413936362515619,0.0,0.0,0.0,0.7320728569052485,0.0,0.0,0.0,0.8392239875213654,0.0,0.0,0.0,1.1954406210272936,0.0,0.0,0.0,0.2802724798549035,0.0,0.0,0.0,0.8486194351366204,0.0,0.0,0.0,0.150677659989903,0.0,0.0,0.0,0.5533383845160136,0.0,0.0,0.0,0.2199926651914629,0.0,0.0,0.0,0.5451246993588692,0.0,0.0,0.0,0.3141239755730129,0.0,0.0,0.0,0.6831753010971674,0.0,0.0,0.0,0.6095874978624174,0.0,0.0,0.0,1.233814850545037,0.0,0.0,0.0,0.3052034838709677,0.0,0.0,0.0,1.1257494976148097,0.0,0.0,0.0,0.124624706206801,0.0,0.0,0.0,0.3620098631162259,0.0,0.0,0.0,0.2249696381321331,0.0,0.0,0.0,0.4670488242410265,0.0,0.0,0.0,0.3327921725486754,0.0,0.0,0.0,0.4811078383082257,0.0,0.0,0.0,0.5731777586088006,0.0,0.0,0.0,0.7895524220599918,0.0,0.0,0.0,0.2343029071708269,0.0,0.0,0.0,0.8630889027076046,0.0,0.0,0.0,0.12155154087317,0.0,0.0,0.0,0.3802976508888375,0.0,0.0,0.0,0.1919425083267513,0.0,0.0,0.0,0.4690721706867428,0.0,0.0,0.0,0.2859922384731433,0.0,0.0,0.0,0.6406709113328364,0.0,0.0,0.0,0.5257789133637414,0.0,0.0,0.0,0.8845055854562597,0.0,0.0,0.0,0.2671437845248295,0.0,0.0,0.0,0.801361210210966,0.0,0.0,0.0,94704,347.0,405.0,58.0,0.167146974,,,4.16kV,Yes,0,3,2,0,0.0,0,0,0,4
12060401,5.0,4.0,0.1252849159384677,0.0,0.0,0.0,0.4524582709781191,0.0,0.0,0.0,0.2478664565859692,0.0,0.0,0.0,0.5728013706157259,0.0,0.0,0.0,0.339614827309237,0.0,0.0,0.0,0.695510951998839,0.0,0.0,0.0,0.8317299134101444,0.0,0.0,0.0,1.187916767001408,0.0,0.0,0.0,0.287432426480114,0.0,0.0,0.0,0.8270219771613041,0.0,0.0,0.0,0.1446450960274692,0.0,0.0,0.0,0.5452833093856922,0.0,0.0,0.0,0.2185644755045154,0.0,0.0,0.0,0.5316046901117394,0.0,0.0,0.0,0.3106493580983664,0.0,0.0,0.0,0.6707012476744083,0.0,0.0,0.0,0.617717673616422,0.0,0.0,0.0,1.238687151483168,0.0,0.0,0.0,0.309638323098847,0.0,0.0,0.0,1.1244795268660324,0.0,0.0,0.0,0.1266152442731502,0.0,0.0,0.0,0.3665586175179063,0.0,0.0,0.0,0.2264581101178908,0.0,0.0,0.0,0.4512136184319956,0.0,0.0,0.0,0.3328803990154164,0.0,0.0,0.0,0.4831506935520331,0.0,0.0,0.0,0.5724486522656704,0.0,0.0,0.0,0.7687383705044077,0.0,0.0,0.0,0.2382476578029077,0.0,0.0,0.0,0.8812031682860476,0.0,0.0,0.0,0.1231353574297189,0.0,0.0,0.0,0.3836372966123507,0.0,0.0,0.0,0.1886376379607922,0.0,0.0,0.0,0.4658481084221233,0.0,0.0,0.0,0.28855085172323,0.0,0.0,0.0,0.645404653775846,0.0,0.0,0.0,0.5262228102750919,0.0,0.0,0.0,0.8529954710621884,0.0,0.0,0.0,0.2707495184071204,0.0,0.0,0.0,0.82106552660504,0.0,0.0,0.0,94704,347.0,405.0,58.0,0.167146974,,,4.16kV,Yes,0,3,2,0,0.0,0,0,0,4
12060401,5.0,5.0,0.1338153174613124,0.0,0.0,0.0,0.4801971538599769,0.0,0.0,0.0,0.2675145996807885,0.0,0.0,0.0,0.5763279169910531,0.0,0.0,0.0,0.3665057411581811,0.0,0.0,0.0,0.6974795445489381,0.0,0.0,0.0,0.8508168793801638,0.0,0.0,0.0,1.2557484083430497,0.0,0.0,0.0,0.3427643570410675,0.0,0.0,0.0,0.9122068456349756,0.0,0.0,0.0,0.1488730650523499,0.0,0.0,0.0,0.5670211203840188,0.0,0.0,0.0,0.2337510388985703,0.0,0.0,0.0,0.5725738551565546,0.0,0.0,0.0,0.3286263790855409,0.0,0.0,0.0,0.7100517808962109,0.0,0.0,0.0,0.6494701366673771,0.0,0.0,0.0,1.2775201829367844,0.0,0.0,0.0,0.335026323098847,0.0,0.0,0.0,1.2209356725005356,0.0,0.0,0.0,0.134747390436381,0.0,0.0,0.0,0.38334485214959,0.0,0.0,0.0,0.2396852721855163,0.0,0.0,0.0,0.4534091818186994,0.0,0.0,0.0,0.3543255333592435,0.0,0.0,0.0,0.5092924676497174,0.0,0.0,0.0,0.5933150433994041,0.0,0.0,0.0,0.8035057877835388,0.0,0.0,0.0,0.25920753811082,0.0,0.0,0.0,0.9881302469231764,0.0,0.0,0.0,0.1293341486236308,0.0,0.0,0.0,0.4160041771550298,0.0,0.0,0.0,0.20007517792293,0.0,0.0,0.0,0.5095222431049014,0.0,0.0,0.0,0.3018278574944941,0.0,0.0,0.0,0.6706780940954074,0.0,0.0,0.0,0.546393699039186,0.0,0.0,0.0,0.8838469996907504,0.0,0.0,0.0,0.2948141541275373,0.0,0.0,0.0,0.9445914193805612,0.0,0.0,0.0,94704,347.0,405.0,58.0,0.167146974,,,4.16kV,Yes,0,3,2,0,0.0,0,0,0,4
12060401,5.0,6.0,0.1409056042066288,0.0,0.0,0.0,0.5201067067162345,0.0,0.0,0.0,0.2919312893858312,0.0,0.0,0.0,0.6126031466380238,0.0,0.0,0.0,0.4030909277150224,0.0,0.0,0.0,0.7549847156367405,0.0,0.0,0.0,0.8931609906662927,0.0,0.0,0.0,1.277359779246017,0.0,0.0,0.0,0.4428399305609535,0.0,0.0,0.0,1.069185825952293,0.0,0.0,0.0,0.1642245463357937,0.0,0.0,0.0,0.6290180106260097,0.0,0.0,0.0,0.2690978475149296,0.0,0.0,0.0,0.5858800763843498,0.0,0.0,0.0,0.380049614169477,0.0,0.0,0.0,0.7535054929054833,0.0,0.0,0.0,0.7226937442673922,0.0,0.0,0.0,1.2765777754750658,0.0,0.0,0.0,0.3932329125534396,0.0,0.0,0.0,1.378573519804246,0.0,0.0,0.0,0.1469520489112871,0.0,0.0,0.0,0.3915537845162981,0.0,0.0,0.0,0.2676581449293532,0.0,0.0,0.0,0.4533540744971677,0.0,0.0,0.0,0.3975066578572354,0.0,0.0,0.0,0.5444707646820371,0.0,0.0,0.0,0.6713066599300428,0.0,0.0,0.0,0.7860462378378098,0.0,0.0,0.0,0.3225699384593525,0.0,0.0,0.0,1.0341160734007833,0.0,0.0,0.0,0.143217072645191,0.0,0.0,0.0,0.4488074883253582,0.0,0.0,0.0,0.2318017877963467,0.0,0.0,0.0,0.516664580691693,0.0,0.0,0.0,0.3436543059981862,0.0,0.0,0.0,0.7025822744672761,0.0,0.0,0.0,0.6103633459117555,0.0,0.0,0.0,0.8809182495141857,0.0,0.0,0.0,0.3445256076397406,0.0,0.0,0.0,1.0895142095362875,0.0,0.0,0.0,94704,347.0,405.0,58.0,0.167146974,,,4.16kV,Yes,0,3,2,0,0.0,0,0,0,4
12060401,5.0,7.0,0.1393466735707232,0.0,0.0,0.0,0.4384481364584247,0.0,0.0,0.0,0.3153461186891165,0.0,0.0,0.0,0.4440554532803866,0.0,0.0,0.0,0.4357654627667799,0.0,0.0,0.0,0.5655687674569244,0.0,0.0,0.0,0.9519872417795135,0.0,0.0,0.0,0.951605675659976,0.0,0.0,0.0,0.4869821868117632,0.0,0.0,0.0,0.9218525530245262,0.0,0.0,0.0,0.1770860039578806,0.0,0.0,0.0,0.5915680441234332,0.0,0.0,0.0,0.2991675801232204,0.0,0.0,0.0,0.4546309315978322,0.0,0.0,0.0,0.4279502844886309,0.0,0.0,0.0,0.5916551989116169,0.0,0.0,0.0,0.7923366088871616,0.0,0.0,0.0,0.9206935998959151,0.0,0.0,0.0,0.4407867329965021,0.0,0.0,0.0,1.319153966929665,0.0,0.0,0.0,0.1582557563948247,0.0,0.0,0.0,0.2652406021228076,0.0,0.0,0.0,0.2974930064148373,0.0,0.0,0.0,0.2669455023604053,0.0,0.0,0.0,0.4382675527918124,0.0,0.0,0.0,0.305602622239217,0.0,0.0,0.0,0.761499318564581,0.0,0.0,0.0,0.3641378905795362,0.0,0.0,0.0,0.3552945362708379,0.0,0.0,0.0,0.759949573285538,0.0,0.0,0.0,0.1594943809761282,0.0,0.0,0.0,0.3451550289166619,0.0,0.0,0.0,0.2678075924927598,0.0,0.0,0.0,0.3529906529553413,0.0,0.0,0.0,0.4023852965410027,0.0,0.0,0.0,0.5308895692029304,0.0,0.0,0.0,0.7034821006189169,0.0,0.0,0.0,0.5435906956859697,0.0,0.0,0.0,0.4134789825147147,0.0,0.0,0.0,0.8634241557942542,0.0,0.0,0.0,94704,347.0,405.0,58.0,0.167146974,,,4.16kV,Yes,0,3,2,0,0.0,0,0,0,4
12060401,5.0,8.0,0.133877529781949,0.0,0.0,0.0,0.1300922297420818,0.0,0.0,0.0,0.3063972068920845,0.0,0.0,0.0,0.0703862163262668,0.0,0.0,0.0,0.4323148780930172,0.0,0.0,0.0,0.0764404917735457,0.0,0.0,0.0,0.865720401376578,0.0,0.0,0.0,0.2645884834823164,0.0,0.0,0.0,0.4520199538800363,0.0,0.0,0.0,0.3809885751427963,0.0,0.0,0.0,0.183322545703438,0.0,0.0,0.0,0.3489105605324405,0.0,0.0,0.0,0.3072763106202124,0.0,0.0,0.0,0.0954444542468379,0.0,0.0,0.0,0.4350949787704407,0.0,0.0,0.0,0.141585536784902,0.0,0.0,0.0,0.7934375654877575,0.0,0.0,0.0,0.1512060780528233,0.0,0.0,0.0,0.4449247185157318,0.0,0.0,0.0,0.7803043061598479,0.0,0.0,0.0,0.1583979745234351,0.0,0.0,0.0,-0.0525071031252747,0.0,0.0,0.0,0.3089622541445699,0.0,0.0,0.0,-0.1643642573506447,0.0,0.0,0.0,0.4553951195750745,0.0,0.0,0.0,-0.2187604786429798,0.0,0.0,0.0,0.7607143082005441,0.0,0.0,0.0,-0.5223600476825043,0.0,0.0,0.0,0.3669014587264196,0.0,0.0,0.0,0.0108062804019303,0.0,0.0,0.0,0.1702335116742695,0.0,0.0,0.0,0.0491078439880676,0.0,0.0,0.0,0.2888748537333517,0.0,0.0,0.0,-0.0456842276010022,0.0,0.0,0.0,0.4248645772768493,0.0,0.0,0.0,0.0761944494941263,0.0,0.0,0.0,0.7660741295044905,0.0,0.0,0.0,-0.2234939893768623,0.0,0.0,0.0,0.4535946104919156,0.0,0.0,0.0,0.2306126196040877,0.0,0.0,0.0,94704,347.0,405.0,58.0,0.167146974,,,4.16kV,Yes,0,3,2,0,0.0,0,0,0,4
12060401,5.0,9.0,0.1334987242760828,0.0,0.0,0.0,-0.2514745120806015,0.0,0.0,0.0,0.2976485999941493,0.0,0.0,0.0,-0.4190482580321543,0.0,0.0,0.0,0.4195968602150537,0.0,0.0,0.0,-0.519618795180723,0.0,0.0,0.0,0.8256412073893911,0.0,0.0,0.0,-0.7144395242907111,0.0,0.0,0.0,0.4234012900175102,0.0,0.0,0.0,-0.4059738175536061,0.0,0.0,0.0,0.1816484307666885,0.0,0.0,0.0,0.0499865163919882,0.0,0.0,0.0,0.3036206814019867,0.0,0.0,0.0,-0.3416853927414346,0.0,0.0,0.0,0.4436069439046509,0.0,0.0,0.0,-0.4055752825488616,0.0,0.0,0.0,0.8042943880955664,0.0,0.0,0.0,-0.8426342576645947,0.0,0.0,0.0,0.4408862707604612,0.0,0.0,0.0,-0.0016164226623844,0.0,0.0,0.0,0.1603117351842916,0.0,0.0,0.0,-0.4563878527730247,0.0,0.0,0.0,0.3145046064884223,0.0,0.0,0.0,-0.7032168852524509,0.0,0.0,0.0,0.4709043352765902,0.0,0.0,0.0,-0.8730599489612979,0.0,0.0,0.0,0.7736808841275612,0.0,0.0,0.0,-1.5755509161600691,0.0,0.0,0.0,0.3935216035162401,0.0,0.0,0.0,-1.0594783516083064,0.0,0.0,0.0,0.183057617415409,0.0,0.0,0.0,-0.3446631870182012,0.0,0.0,0.0,0.324814659783776,0.0,0.0,0.0,-0.5568586316205809,0.0,0.0,0.0,0.4443128172711658,0.0,0.0,0.0,-0.5814586640004346,0.0,0.0,0.0,0.8131059451123954,0.0,0.0,0.0,-1.2442751661881657,0.0,0.0,0.0,0.4673621201768572,0.0,0.0,0.0,-0.6783245196685413,0.0,0.0,0.0,94704,347.0,405.0,58.0,0.167146974,,,4.16kV,Yes,0,3,2,0,0.0,0,0,0,4
